@relation svmModel
@attribute count_tokens real
@attribute count_sents real
@attribute frac_puncs real
@attribute avg_token_len real
@attribute stdev_token_len real
@attribute avg_sent_len1 real
@attribute avg_sent_len2 real
@attribute num_digits real
@attribute decision{0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0}
@data
319.0,44.0,0.0,5.297806,3.0475392,18.68421,104.42105,20.0,0.0
416.0,42.0,0.0,5.2403846,2.7076988,19.956522,111.95652,10.0,0.0
72.0,7.0,0.0,5.8194447,2.8641772,25.333334,163.0,2.0,0.0
463.0,49.0,0.0,5.278618,2.8599644,22.043478,125.17391,3.0,0.0
356.0,39.0,0.0,5.457865,2.9624832,21.666666,126.55556,3.0,0.0
51.0,6.0,0.0,5.8235292,3.4680948,18.333334,115.333336,0.0,0.0
544.0,58.0,0.0,5.564338,2.8302927,20.689655,121.793106,0.0,0.0
669.0,65.0,0.0014947683,5.4230194,2.8356264,22.181818,129.36363,29.0,0.0
505.0,44.0,0.003960396,5.4435644,2.8599818,24.863636,146.68182,32.0,0.0
332.0,38.0,0.0,5.048193,2.550236,19.263159,104.36842,15.0,0.0
446.0,46.0,0.0,5.5560536,3.2976742,21.26087,125.82609,0.0,0.0
332.0,38.0,0.0,5.0391564,2.5497994,19.263159,104.210526,15.0,0.0
369.0,46.0,0.0054200543,5.3089433,3.035822,21.31579,121.31579,6.0,0.0
548.0,55.0,0.0018248175,5.4653287,2.9683037,20.758621,121.206894,12.0,0.0
568.0,64.0,0.0,5.362676,2.6910472,20.193548,115.32258,27.0,0.0
474.0,52.0,0.004219409,5.1962028,2.7836003,18.137932,99.86207,12.0,0.0
428.0,33.0,0.0023364485,5.28271,2.8997185,23.3,133.55,14.0,0.0
408.0,51.0,0.0,5.6789217,3.1118593,14.242424,81.030304,8.0,0.0
393.0,45.0,0.0,5.4503818,2.9771316,17.56,100.2,22.0,0.0
497.0,60.0,0.0,5.3822937,2.72235,17.40625,97.8125,21.0,0.0
400.0,44.0,0.005,5.23,3.0433702,19.347826,117.04762,8.0,0.0
445.0,61.0,0.0,5.568539,3.2246108,15.0,84.47059,12.0,0.0
403.0,55.0,0.0,5.511166,3.168822,18.04,104.0,30.0,0.0
479.0,51.0,0.0,5.4906054,3.088707,20.307692,118.76923,30.0,0.0
